Blue Light (Forward),Blue Light (Reverse),Radio Waves (Forward),Radio Waves (Reverse),Red Light (Forward),Red Light (Reverse),White Light (Forward),White Light (Reverse)
37.886295,87.01715,9.733253,51.471504,167.84492,203.83185,31.528357,10.859601
17.796043,231.19835,61.643894,52.27223,53.11394,366.56064,33.76571,135.02307
36.638233,217.58145,20.097305,13.7426,103.46668,344.0925,32.989628,281.0556
6.1798663,202.40414,1.9994005,14.234451,184.9622,337.1878,12.827158,434.29007
32.578747,203.6286,126.12693,1.976743,118.31619,317.52057,37.84099,153.28696
75.888084,207.05406,179.16827,99.9451,70.186905,231.68555,66.31355,289.17773
25.431547,199.4953,88.51698,101.68557,91.104324,181.73299,13.985411,473.57275
98.16709,267.68314,52.709476,1.7793424,102.20351,138.57645,25.687569,152.76118
51.31738,320.3063,78.36953,5.997667,91.69166,83.03905,66.54521,96.78248
31.531923,327.22806,103.22641,5.696234,51.213947,31.793297,41.37642,115.12825
32.92219,415.1957,115.922905,55.5872,42.37122,59.180977,100.22568,79.89742
16.158714,535.26117,95.87396,52.552376,27.037941,128.95479,72.81342,169.3444
7.1865172,470.91016,44.34891,23.886724,15.490976,137.74364,23.585289,323.7154
29.018353,386.67657,75.467125,21.116766,71.12262,94.33112,22.81808,279.8201
35.99429,400.66443,112.033875,8.791551,40.53109,57.18103,166.241,101.64896
4.4549828,469.7332,103.098595,81.5089,9.805489,28.994743,55.47634,22.432514
18.08583,373.1561,24.451368,59.013214,96.08209,53.984882,109.08893,93.589066
